next_date,date,code,name,auction_pct,buy_open,sell_high,sell_low,sell_close,ret,exit,win,rank_in_day,vol_ratio,float_mv_yi,range_pct,y_one_word,market_fb_n,idx_open_pct
20240726,20240725,600650,锦江在线,-0.05727204220045212,12.51,14.53,11.94,13.28,0.0135,tp,True,1,0.8771197254878546,43.5474483625,0.07296849087893856,False,42,-0.00025634452704426103
20240726,20240725,001212,中旗新材,-0.05074844833880976,26.0,26.0,24.65,24.65,-0.05342307692307696,close,False,2,2.1696519332856443,60.5821109946,0.06425702811244986,False,42,-0.00025634452704426103
20240726,20240725,301226,祥明智能,-0.04900064474532562,29.5,30.1,25.55,25.86,0.0135,tp,True,3,2.8475118139503803,32.66176,0.2522243713733075,False,42,-0.00025634452704426103
20240729,20240726,601388,怡球资源,-0.022421524663677084,2.18,2.26,2.17,2.23,0.0135,tp,True,1,4.483362531769515,77.26291382160001,0.0591133004926109,False,61,-0.0004946556435713179
20240730,20240729,001316,润贝航科,-0.030127142067440493,35.09,35.11,32.56,33.44,-0.04852194357366785,close,False,1,4.5261168717899025,40.4189184,0.09668592277287928,False,67,-0.002292650033715482
20240730,20240729,002177,御银股份,-0.02680965147453085,3.63,3.98,3.58,3.59,0.0135,tp,True,2,2.3416877348115746,42.2192974554,0.10029498525073742,False,67,-0.002292650033715482
20240730,20240729,600817,宇通重工,-0.025375939849624163,10.37,11.5,9.81,10.79,0.0135,tp,True,3,1.3258090649689567,52.2608452002,0.11995863495346434,False,67,-0.002292650033715482
20240731,20240730,603716,塞力医疗,-0.07002801120448177,6.64,7.25,6.5,6.82,0.0135,tp,True,1,1.964540565418491,39.671438289,0.1047765793528505,False,60,-0.0006112596811725934
20240801,20240731,600721,百花医药,-0.0205580029368575,6.67,7.09,6.48,6.51,0.0135,tp,True,1,4.498849614324203,50.7218330565,0.12116316639741517,False,84,0.00046618460229685965
20240801,20240731,600830,香溢融通,-0.02015677491601342,8.75,8.88,8.51,8.61,-0.017500000000000016,close,False,2,1.713150525665072,41.9339895481,0.09113300492610842,False,84,0.00046618460229685965
20240802,20240801,603988,中电电机,-0.05802562170308967,12.5,12.75,11.94,11.94,0.0135,tp,True,1,2.313742737126125,46.546079999999996,0.10862354892205628,False,58,-0.006605533370390715
20240802,20240801,601002,晋亿实业,-0.03003003003003002,3.23,3.65,3.14,3.36,0.0135,tp,True,2,3.9215850311317433,52.97145996,0.0990099009900991,False,58,-0.006605533370390715
20240802,20240801,600843,上工申贝,-0.02644230769230782,8.1,9.1,8.03,8.41,0.0135,tp,True,3,2.465478719293274,33.924803379000004,0.07539682539682543,False,58,-0.006605533370390715
20240805,20240802,301075,多瑞医药,-0.043743641912512676,18.8,18.98,17.29,17.49,-0.07118085106382993,close,False,1,4.674129580553779,32.83932,0.21184371184371178,False,49,-0.005500216842090788
20240806,20240805,600721,百花医药,-0.048223350253807085,7.5,8.67,7.18,8.0,0.0135,tp,True,1,2.0432759246370953,50.7218330565,0.08659217877094974,False,50,0.006274688013423457
20240806,20240805,301213,观想科技,-0.04594381727487529,36.34,37.46,34.92,35.73,0.0135,tp,True,2,1.8965544336620437,29.6531836928,0.21613106490233155,False,50,0.006274688013423457
20240807,20240806,301232,飞沃科技,-0.06563593932322054,32.03,35.88,31.78,32.6,0.0135,tp,True,1,1.9971949418258144,64.0580149454,0.15015750787539386,False,58,-0.001140453670377517
20240807,20240806,605098,行动教育,-0.04471544715447151,37.6,41.88,36.07,37.24,0.0135,tp,True,2,3.1186610118146016,68.53360717,0.14952487423141422,False,58,-0.001140453670377517
20240807,20240806,000560,我爱我家,-0.030100334448160626,2.9,2.94,2.78,2.81,-0.03253448275862064,close,False,3,1.2155750744083254,74.73175099609999,0.11397058823529413,False,58,-0.001140453670377517
20240808,20240807,300040,九洲集团,-0.05762711864406789,5.56,5.73,5.4,5.42,0.0135,tp,True,1,4.781712565625934,30.180795435999997,0.16666666666666674,False,50,-0.00176665516772756
20240808,20240807,603131,上海沪工,-0.05604719764011801,16.0,16.0,15.26,15.26,-0.047750000000000015,close,False,2,2.002146616352431,49.491670618,0.08955223880597009,False,50,-0.00176665516772756
20240808,20240807,600855,航天长峰,-0.0348742903487429,11.9,12.08,11.1,11.1,0.0135,tp,True,3,1.439666898721502,59.20318956479999,0.127564674397859,False,50,-0.00176665516772756
20240809,20240808,000011,深物业A,-0.0491803278688524,8.12,9.39,8.02,9.39,0.0135,tp,True,1,2.1560460342371712,48.2251597388,0.034793814432989636,False,42,0.003473988640719128
20240809,20240808,300189,神农种业,-0.042553191489361764,2.25,2.5,2.16,2.32,0.0135,tp,True,2,3.631900841521491,66.911907012,0.21428571428571436,False,42,0.003473988640719128
20240809,20240808,300647,超频三,-0.040590405904059046,5.2,5.88,5.16,5.42,0.0135,tp,True,3,3.8599195026296633,38.4036042263,0.17477876106194692,False,42,0.003473988640719128
20240812,20240809,003026,中晶科技,-0.05882352941176483,30.24,32.69,29.01,31.49,0.0135,tp,True,1,1.344370867363948,41.604621263999995,0.03765833618623764,False,30,-0.0011529632903476417
20240812,20240809,603139,康惠股份,-0.05133767172812731,13.12,15.21,13.06,14.9,0.0135,tp,True,2,1.7452024817237402,36.116608,0.02625298329355609,False,30,-0.0011529632903476417
20240812,20240809,603978,深圳新星,-0.03139013452914796,10.8,11.45,10.55,10.83,0.0135,tp,True,3,1.447678170810412,43.3798784445,0.1627218934911243,False,30,-0.0011529632903476417
20240813,20240812,301060,兰卫医学,-0.03118503118503113,9.32,9.32,8.77,9.08,-0.027251072961373468,close,False,1,4.637134979439464,39.5102548479,0.19576059850374047,False,34,0.0007732139108529434
20240813,20240812,300622,博士眼镜,-0.02413603949533738,17.79,21.88,17.79,21.88,0.0135,tp,True,2,3.1533355404734316,35.5041178824,0.2117028270874425,False,34,0.0007732139108529434
20240813,20240812,300875,捷强装备,-0.022183558068725406,22.48,25.65,21.9,23.32,0.0135,tp,True,3,2.6159559951043145,29.568234119200003,0.18789144050104373,False,34,0.0007732139108529434
20240815,20240814,301151,冠龙节能,-0.06195546950629238,19.38,22.0,19.0,19.15,0.0135,tp,True,1,4.2471167624267885,36.3384487549,0.19454123112659708,False,35,-0.002262641853612468
20240815,20240814,002037,保利联合,-0.045226130653266416,7.6,8.27,7.17,7.38,0.0135,tp,True,2,1.914000581823105,34.2105681162,0.042817679558010996,False,35,-0.002262641853612468
20240815,20240814,002272,川润股份,-0.024390243902439046,4.8,5.41,4.67,5.2,0.0135,tp,True,3,1.7773545380995928,70.42226294129999,0.02684563758389264,False,35,-0.002262641853612468
20240816,20240815,600686,金龙汽车,-0.07023749368367871,18.4,19.13,17.81,17.81,0.0135,tp,True,1,1.2178899970173034,81.8151102797,0.17065036131183994,False,47,0.00020157366474826688
20240816,20240815,600817,宇通重工,-0.055053410024650806,11.5,13.0,11.5,12.23,0.0135,tp,True,2,1.8196873547347343,52.2608452002,0.10578661844484628,False,47,0.00020157366474826688
20240816,20240815,300269,联建光电,-0.030000000000000027,3.88,4.54,3.52,3.64,0.0135,tp,True,3,2.1371138054719476,27.123298924800004,0.2552552552552553,False,47,0.00020157366474826688
20240819,20240816,603215,比依股份,-0.048913043478260865,14.0,15.82,13.85,14.63,0.0135,tp,True,1,1.5036154621588091,27.634908888,0.0695067264573992,False,39,-0.0005139906161983898
20240819,20240816,002256,兆新股份,-0.040462427745664775,1.66,1.9,1.65,1.8,0.0135,tp,True,2,3.2641165343637333,68.487795484,0.13375796178343946,False,39,-0.0005139906161983898
20240819,20240816,300968,格林精密,-0.039777983348751156,10.38,10.38,9.34,9.45,-0.0910953757225435,close,False,3,4.5255139229725545,44.64504,0.19866814650388467,False,39,-0.0005139906161983898
20240820,20240819,300511,雪榕生物,-0.06830601092896171,3.41,3.53,3.25,3.32,0.0135,tp,True,1,2.7393280639153725,32.8145882688,0.20983606557377055,False,41,0.0006496939872204788
20240820,20240819,001298,好上好,-0.051024352531890194,24.55,28.46,23.89,25.31,0.0135,tp,True,2,1.426717740315127,77.613404844,0.04889455782312934,False,41,0.0006496939872204788
20240820,20240819,002425,凯撒文化,-0.028213166144200552,3.1,3.49,3.01,3.22,0.0135,tp,True,3,1.8418086427708489,33.126693228,0.12758620689655176,False,41,0.0006496939872204788
20240822,20240821,002199,东晶电子,-0.027982326951399128,6.6,6.96,6.18,6.29,0.0135,tp,True,1,3.7502214480743143,28.5394986948,0.0777957860615884,False,39,-0.00013302620616262306
20240822,20240821,001298,好上好,-0.02155172413793105,27.24,29.44,26.66,27.65,0.0135,tp,True,2,1.661566740469224,77.613404844,0.12998814697747924,False,39,-0.00013302620616262306
20240823,20240822,600501,航天晨光,-0.058201058201058364,16.02,16.18,15.31,15.31,-0.04581960049937578,close,False,1,1.802521244362327,62.8901574,0.10852713178294583,False,28,-0.0014041147582991576
20240823,20240822,300005,探路者,-0.03960396039603953,5.82,5.94,5.48,5.52,0.0135,tp,True,2,3.8373678102678936,95.3685677568,0.20594059405940596,False,28,-0.0014041147582991576
20240823,20240822,600650,锦江在线,-0.03502501786990708,13.5,13.84,12.59,13.16,0.0135,tp,True,3,1.9490210412173934,43.5474483625,0.10691823899371064,False,28,-0.0014041147582991576
20240826,20240823,300400,劲拓股份,-0.03730846102598273,14.45,16.25,14.2,15.7,0.0135,tp,True,1,1.9795807766063696,72.63099625,0.22621902478017586,False,39,0.00038537400547222767
20240827,20240826,301326,捷邦科技,-0.06543708943911053,36.99,37.0,33.7,33.76,-0.08882089753987571,close,False,1,1.8810287587898975,76.183183041,0.18344451182534863,False,42,-0.001624922956239061
20240827,20240826,300709,精研科技,-0.02897773007781068,36.19,36.19,32.4,33.25,-0.082737911025145,close,False,2,1.732617933841209,67.4775274983,0.19285254346426278,False,42,-0.001624922956239061
20240827,20240826,002805,丰元股份,-0.026236125126135157,9.65,10.1,9.58,9.9,0.0135,tp,True,3,0.9443237752304185,51.6924990072,0.10876803551609328,False,42,-0.001624922956239061
20240829,20240828,603138,海量数据,-0.02135231316725983,11.0,11.76,10.82,11.64,0.0135,tp,True,1,2.065526940027796,38.378433335,0.13111545988258314,False,38,-0.002812404182658268
20240830,20240829,603176,汇通集团,-0.027568922305764465,3.88,4.25,3.88,3.98,0.0135,tp,True,1,3.783548609089225,25.030481671,0.07988980716253445,False,49,-0.0012255987191430728
20240902,20240830,300399,天利科技,-0.07496012759170645,11.6,12.19,11.36,11.6,0.0135,tp,True,1,2.432942752650111,42.203242859999996,0.2,False,62,-0.0034691314153423303
20240902,20240830,600156,华升股份,-0.04143646408839774,3.47,3.62,3.28,3.41,0.0135,tp,True,2,4.621768856714563,34.7021535826,0.08814589665653497,False,62,-0.0034691314153423303
20240902,20240830,600280,中央商场,-0.03731343283582089,2.58,2.66,2.5,2.54,0.0135,tp,True,3,2.304720918617129,35.7682127796,0.11475409836065584,False,62,-0.0034691314153423303
20240904,20240903,002723,小崧股份,-0.03669724770642202,5.25,5.79,5.2,5.57,0.0135,tp,True,1,2.2589465977414416,25.1983383418,0.08282828282828285,False,43,-0.005879456863766452
20240904,20240903,002565,顺灏股份,-0.03358208955223896,2.59,2.61,2.51,2.52,-0.028527027027026974,close,False,2,4.319641801707799,91.15614479199999,0.020491803278688634,False,43,-0.005879456863766452
20240904,20240903,002369,卓翼科技,-0.027184466019417597,5.01,5.66,4.64,4.97,0.0135,tp,True,3,1.9229120711270293,36.625375688,0.13675213675213688,False,43,-0.005879456863766452
20240905,20240904,000504,南华生物,-0.05548549810844883,7.49,7.93,7.42,7.6,0.0135,tp,True,1,1.926071546605582,27.2184223146,0.13730929264909839,False,38,0.00035197609435844157
20240905,20240904,003015,日久光电,-0.03125,13.33,13.68,12.55,12.91,0.0135,tp,True,2,1.7039757566606664,30.633309308,0.15907274180655478,False,38,0.00035197609435844157
20240905,20240904,600272,开开实业,-0.026653504442250897,9.86,10.3,9.7,10.03,0.0135,tp,True,3,4.892897577175636,32.144,0.11074918566775258,False,38,0.00035197609435844157
20240906,20240905,002285,世联行,-0.03076923076923077,1.89,1.95,1.87,1.89,0.0135,tp,True,1,2.1609951150502327,47.1004232678,0.07909604519774005,False,49,0.0012373086206340922
20240906,20240905,603778,国晟科技,-0.02758620689655178,2.82,2.86,2.73,2.74,-0.029868794326240955,close,False,2,4.61704128476248,62.8071427734,0.0946969696969697,False,49,0.0012373086206340922
20240906,20240905,600135,乐凯胶片,-0.02135231316725983,5.5,5.78,5.27,5.35,0.0135,tp,True,3,1.757474496240416,42.051339524,0.09784735812133072,False,49,0.0012373086206340922
20240909,20240906,300561,汇金科技,-0.056526207605344325,9.18,11.31,8.9,10.17,0.0135,tp,True,1,4.789185402203682,41.4136912132,0.1985203452527745,False,31,-0.00400967528499796
20240909,20240906,300905,宝丽迪,-0.04124457308248919,26.5,31.85,26.5,27.71,0.0135,tp,True,2,2.871549839006836,50.812935823299995,0.23404255319148937,False,31,-0.00400967528499796
20240910,20240909,002596,海南瑞泽,-0.04255319148936165,1.8,1.81,1.69,1.69,-0.06261111111111112,close,False,1,3.325155140853206,39.4420268856,0.09356725146198826,False,48,0.0005079499651015063
20240910,20240909,601096,宏盛华源,-0.02682926829268284,3.99,4.04,3.87,3.9,-0.024056390977443665,close,False,2,3.596682464828655,69.33361003019999,0.11260053619302936,False,48,0.0005079499651015063
20240910,20240909,603222,济民健康,-0.024653312788906034,6.33,6.67,5.84,5.95,0.0135,tp,True,3,3.3324771723376543,42.952412306999996,0.07796610169491525,False,48,0.0005079499651015063
20240911,20240910,002640,跨境通,-0.0604651162790697,2.02,2.11,1.94,1.94,0.0135,tp,True,1,2.301562330632405,54.34398847799999,0.13846153846153847,False,41,-0.0041760956785061865
20240911,20240910,002892,科力尔,-0.0350877192982455,8.8,9.0,8.77,8.86,0.0135,tp,True,2,2.4357865168539328,46.003177233,0.1158021712907116,False,41,-0.0041760956785061865
20240911,20240910,600838,上海九百,-0.030303030303030276,7.36,7.36,6.83,6.83,-0.07351086956521741,close,False,3,4.127486363235253,34.475850365999996,0.12028985507246377,False,41,-0.0041760956785061865
20240913,20240912,002640,跨境通,-0.06103286384976525,2.0,2.28,1.92,2.01,0.0135,tp,True,1,1.6255154361469328,54.34398847799999,0.12371134020618557,False,36,0.000688228712754535
20240913,20240912,300086,康芝药业,-0.05708245243128973,4.46,4.67,4.26,4.26,0.0135,tp,True,2,2.307492803345237,30.230821009200003,0.1776649746192894,False,36,0.000688228712754535
20240913,20240912,600336,澳柯玛,-0.03409090909090917,5.1,5.6,4.91,5.34,0.0135,tp,True,3,3.28794648800099,50.274930446999996,0.031250000000000076,False,36,0.000688228712754535
20240918,20240913,600463,空港股份,-0.06952965235173825,9.1,10.76,8.8,10.3,0.0135,tp,True,1,4.616166661422773,25.38,0.08773903262092231,False,40,0.00046596082230987435
20240918,20240913,300067,安诺其,-0.06862745098039225,3.8,3.88,3.66,3.77,0.0135,tp,True,2,2.998214593174281,53.6240665532,0.2352941176470589,False,40,0.00046596082230987435
20240918,20240913,002871,伟隆股份,-0.021151586368977626,8.33,8.33,7.7,8.01,-0.039915366146458575,close,False,3,4.2310211925012835,28.224214494700004,0.1020671834625323,False,40,0.00046596082230987435
20240919,20240918,001236,弘业期货,-0.04761904761904756,9.4,10.86,9.4,10.4,0.0135,tp,True,1,1.500317957970393,63.299494463,0.16610925306577462,False,26,0.0021823293882117234
20240919,20240918,000736,中交发展,-0.03118040089086871,8.7,9.88,8.7,9.26,0.0135,tp,True,2,3.1290976753757898,34.9642051668,0.1323529411764706,False,26,0.0021823293882117234
20240919,20240918,603421,鼎信通讯,-0.025270758122743597,5.4,5.92,5.17,5.56,0.0135,tp,True,3,2.024445136770016,39.5879640177,0.11309523809523815,False,26,0.0021823293882117234
20240923,20240920,001236,弘业期货,-0.05944055944055937,10.76,10.85,10.3,10.3,-0.0442509293680296,close,False,1,1.5792718448930227,63.299494463,0.14999999999999988,False,48,-0.0005188522403820617
20240923,20240920,000514,渝 开 发,-0.05660377358490565,3.5,3.86,3.5,3.73,0.0135,tp,True,2,4.609440655742336,35.6915118195,0.12462908011869434,False,48,-0.0005188522403820617
20240923,20240920,600858,银座股份,-0.04306220095693769,4.0,4.34,3.95,4.2,0.0135,tp,True,3,3.997514517580131,26.394949479,0.11052631578947367,False,48,-0.0005188522403820617
20240924,20240923,002644,佛慈制药,-0.024251069900142697,6.84,7.0,6.74,6.98,0.0135,tp,True,1,3.3127489883929337,44.9888817,0.1036106750392465,False,54,0.007941300583501842
20240925,20240924,603607,京华激光,-0.03784477228992944,15.0,16.59,15.0,15.51,0.0135,tp,True,1,1.7630780132336183,40.059169919999995,0.12067748764996465,False,92,0.013373475881290675
20240925,20240924,002453,华软科技,-0.03687635574837311,4.44,4.84,4.36,4.66,0.0135,tp,True,2,2.6857997105878235,29.7755984314,0.126491646778043,False,92,0.013373475881290675
20240926,20240925,603615,茶花股份,-0.03994082840236679,12.98,13.88,12.98,13.75,0.0135,tp,True,1,1.3331565461318746,44.97852,0.10089503661513428,False,55,-0.0008838832859742185
20240926,20240925,002961,瑞达期货,-0.03250188964474676,12.8,14.29,12.61,13.82,0.0135,tp,True,2,2.9295442480571583,97.770892515,0.052369077306733236,False,55,-0.0008838832859742185
20240926,20240925,300785,值得买,-0.02777777777777779,21.0,23.5,20.31,22.76,0.0135,tp,True,3,2.6430762033475417,47.422626606,0.2155555555555557,False,55,-0.0008838832859742185
20241011,20241010,300978,东箭科技,-0.07205240174672489,12.75,12.9,11.61,11.89,-0.0689509803921568,close,False,1,3.146549515398448,25.981574319499998,0.2000000000000001,False,76,-0.0042581157080858745
20241011,20241010,300847,中船汉光,-0.06908378245957869,19.0,20.1,17.62,18.01,0.0135,tp,True,2,2.333762675907501,42.063021,0.19929453262786598,False,76,-0.0042581157080858745
20241011,20241010,603978,深圳新星,-0.05900816070307591,14.99,16.95,14.34,14.34,0.0135,tp,True,3,2.2305741822289518,43.3798784445,0.0732044198895028,False,76,-0.0042581157080858745
20241014,20241011,601086,国芳集团,-0.07514450867052036,4.8,5.16,4.67,4.77,0.0135,tp,True,1,1.8917630669731806,67.1994,0.04237288135593224,False,33,0.007362310192868371
20241014,20241011,002762,金发拉比,-0.06047819971870616,6.68,7.19,6.52,7.04,0.0135,tp,True,2,1.6519666981210956,33.3137525,0.10990712074303405,False,33,0.007362310192868371
20241015,20241014,300663,科蓝软件,-0.072356215213358,25.0,29.91,24.4,25.45,0.0135,tp,True,1,1.6004665848279307,40.1458342104,0.21905609973285833,False,104,-0.005654138451795299
20241015,20241014,300810,中科海讯,-0.06330806954971013,21.01,26.6,20.61,25.04,0.0135,tp,True,2,2.7076272690777308,28.945526734999998,0.1835205992509363,False,104,-0.005654138451795299
20241015,20241014,300427,红相股份,-0.05693581780538315,9.11,11.56,9.0,10.2,0.0135,tp,True,3,2.5418798808943417,33.5504260296,0.2819875776397516,False,104,-0.005654138451795299
20241016,20241015,301357,北方长龙,-0.07117771013814089,39.67,49.0,39.67,45.55,0.0135,tp,True,1,2.7603674186140754,58.030260750000004,0.2391121101432986,False,55,-0.01003345526334698
20241016,20241015,300284,苏交科,-0.04217926186291743,10.9,13.14,10.68,11.89,0.0135,tp,True,2,1.6616404054511185,63.8684155161,0.2267932489451477,False,55,-0.01003345526334698
20241016,20241015,000520,凤凰航运,-0.02857142857142858,3.06,3.22,2.97,2.99,0.0135,tp,True,3,2.05596071314451,42.811130146500005,0.13986013986013984,False,55,-0.01003345526334698
20241017,20241016,002963,豪尔赛,-0.050105857445306934,13.46,13.97,12.75,12.95,0.0135,tp,True,1,3.3557326280477757,29.420046389000003,0.06754658385093161,False,92,0.0055511325496808706
20241017,20241016,600203,福日电子,-0.03340292275574119,9.26,10.54,9.14,10.29,0.0135,tp,True,2,2.8975118373381816,66.53326280040001,0.09070034443168781,False,92,0.0055511325496808706
20241018,20241017,600622,光大嘉宝,-0.059125964010282805,3.66,4.28,3.64,4.28,0.0135,tp,True,1,4.407790860213998,35.3925754872,0.17796610169491534,False,53,-0.0010759202115241395
20241018,20241017,600650,锦江在线,-0.024034959941733436,13.4,13.96,13.0,13.51,0.0135,tp,True,2,1.1859341269600239,43.5474483625,0.09935897435897437,False,53,-0.0010759202115241395
20241021,20241018,002199,东晶电子,-0.05974842767295585,8.97,10.49,8.97,10.49,0.0135,tp,True,1,1.4364181029296759,28.5394986948,0.08304498269896181,False,104,0.004445725358417363
20241021,20241018,600399,抚顺特钢,-0.02313624678663251,7.6,7.6,7.0,7.18,-0.05676315789473679,close,False,2,2.7892390772133067,88.15287,0.12446958981612445,False,104,0.004445725358417363
20241022,20241021,300093,金刚光伏,-0.05982905982905973,19.8,22.8,18.8,21.99,0.0135,tp,True,1,2.35468625726755,65.3450196,0.16410256410256405,False,135,-0.0013126853135297933
20241022,20241021,603909,建发合诚,-0.05953582240161448,9.32,9.6,9.23,9.45,0.0135,tp,True,2,1.4919721438546831,25.832708174,0.13651498335183135,False,135,-0.0013126853135297933
20241022,20241021,301182,凯旺科技,-0.05746652935118435,45.76,48.66,42.0,42.0,0.0135,tp,True,3,1.4074466223060083,60.627157960000005,0.09960454770143337,False,135,-0.0013126853135297933
20241023,20241022,002272,川润股份,-0.04507337526205446,9.11,10.49,8.68,10.49,0.0135,tp,True,1,1.3151932279622232,70.42226294129999,0.05190311418685113,False,107,-0.00018868671006455617
20241024,20241023,301155,海力风电,-0.06318763009217965,63.01,69.91,63.01,66.13,0.0135,tp,True,1,3.7023831390302493,49.2796652322,0.11168599464763614,False,95,-0.004535545597674662
20241024,20241023,002134,天津普林,-0.03656413232733602,16.6,18.95,16.4,18.95,0.0135,tp,True,2,1.9349667016809073,55.50898050000001,0.09003831417624522,False,95,-0.004535545597674662
20241024,20241023,603016,新宏泰,-0.032165422171165914,33.7,34.57,32.0,32.75,0.0135,tp,True,3,0.8376776007891037,48.774271999999996,0.12037914691943125,False,95,-0.004535545597674662
20241025,20241024,603106,恒银科技,-0.03966789667896675,10.41,11.92,10.08,11.92,0.0135,tp,True,1,1.3215021880628655,42.734691999999995,0.11776649746192895,False,90,0.00015242694176675897
20241025,20241024,002094,青岛金王,-0.03602058319039447,5.62,6.41,5.39,6.41,0.0135,tp,True,2,1.311941357500084,39.7010790675,0.10546139359698675,False,90,0.00015242694176675897
20241025,20241024,000890,法尔胜,-0.025352112676056304,3.46,3.8,3.4,3.7,0.0135,tp,True,3,2.4358497468609284,38.4253798136,0.10835913312693488,False,90,0.00015242694176675897
20241028,20241025,300063,天龙集团,-0.07192982456140351,10.58,12.48,10.54,11.38,0.0135,tp,True,1,1.4223436846933066,58.906692642,0.2536842105263158,False,156,0.0002303239688457026
20241030,20241029,000859,国风新材,-0.07317073170731714,5.7,5.98,5.57,5.7,0.0135,tp,True,1,1.1442681400761343,82.6038950862,0.0572450805008945,False,119,-0.003885698984606334
20241030,20241029,000058,深 赛 格,-0.03258655804480659,9.5,10.8,8.98,10.8,0.0135,tp,True,2,4.293379235389788,70.21191059270001,0.0414333706606944,False,119,-0.003885698984606334
20241030,20241029,603985,恒润股份,-0.03183023872679047,14.6,16.08,14.21,14.59,0.0135,tp,True,3,2.665291921796567,77.98778073070001,0.07731582786287385,False,119,-0.003885698984606334
20241104,20241101,600481,双良节能,-0.06935687263556112,7.38,8.35,7.14,7.71,0.0135,tp,True,1,2.6838930128710894,88.760655427,0.07628294036061024,False,93,0.0011216347138303107
20241105,20241104,600199,金种子酒,-0.03886925795053009,13.6,14.25,13.52,14.14,0.0135,tp,True,1,2.7611459336963544,48.8085243408,0.11275272161741844,False,144,-0.0010271251672855364
20241105,20241104,001330,博纳影业,-0.026604068857589924,6.22,7.0,6.19,6.8,0.0135,tp,True,2,0.9398737869977568,71.7476797674,0.1153184165232358,False,144,-0.0010271251672855364
20241105,20241104,002295,精艺股份,-0.023383768913342484,7.1,7.43,6.85,7.4,0.0135,tp,True,3,2.5171587361474117,26.59533678,0.11329305135951662,False,144,-0.0010271251672855364
20241107,20241106,000572,海马汽车,-0.04290429042904287,5.8,5.8,5.45,5.48,-0.05667241379310334,close,False,1,1.2506556167630618,65.1974467599,0.11070780399274037,False,130,-0.007039402330509148
