buy_date,ret,n,codes,names,categories,sell_date,open_pct,score,win
20251120,-0.14528612716763006,1,603212,赛伍技术,一进二,20251124,1.6152716593245353,78.0,False
20251128,0.22717853795688853,1,603778,国晟科技,一进二,20251202,1.2333965844402384,64.0,True
20251208,0.028282587114067115,1,002083,孚日股份,一进二,20251210,1.2056666331759391,64.0,True
20251211,-0.05367391304347818,1,002251,步步高,一进二,20251215,0.0,66.0,False
20251222,-0.039618811881188154,1,002639,雪人集团,一进二,20251224,-0.68829891838742,42.0,False
20251226,-0.05721500928583484,1,600279,重庆港,一进二,20251230,2.067895915905571,24.0,False
20260105,0.036235849056603764,1,002659,凯文教育,一进二,20260107,-0.5119453924914752,28.0,True
20260109,-0.026954545454545398,1,600935,华塑股份,一进二,20260113,0.0,38.0,False
20260120,0.006348101265822916,1,603286,日盈电子,一进二,20260122,2.1463666925265024,40.0,True
20260127,-0.0958270542875348,2,"600736,603045","苏州高新,福达合金",一进二,20260129,0.797908526346025,67.0,False
20260202,0.09497495361781089,1,600395,盘江股份,一进二,20260204,-0.3696857670979714,52.0,True
20260209,-0.032577616346826266,1,002728,特一药业,一进二,20260211,-0.9999230828397709,60.0,False
20260213,-0.01334418409011634,2,"600821,002272","金开新能,川润股份",一进二,20260225,-0.41988382620725684,65.0,False
20260226,-0.11290969656253497,1,002725,跃岭股份,一进二,20260302,2.173664340464465,50.0,False
20260303,-0.06365213358070504,1,603488,展鹏科技,一进二,20260305,-1.191567369385893,54.0,False
20260306,0.042756120527307095,1,002235,安妮股份,一进二,20260310,0.0,60.0,True
20260312,-0.10874637681159421,1,601700,风范股份,一进二,20260316,0.0,48.0,False
20260318,-0.046295530679904995,2,"605277,002565","新亚电子,顺灏股份",一进二,20260320,1.0515603799185924,55.0,False
20260325,-0.028325633383010362,1,603759,海天股份,一进二,20260327,0.4992511233150143,78.0,False
20260330,0.005362745098039192,1,600996,贵广网络,一进二,20260401,1.7964071856287456,78.0,True
20260402,-0.01728395312301484,2,"603803,601083","瑞斯康达,锦江航运",一进二,20260407,-0.20277699444258834,54.0,False
20260408,0.048083286721109786,2,"603637,000652","镇海股份,泰达股份",一进二,20260410,0.5542359461599311,49.0,True
20260414,0.020568965517241466,1,002439,启明星辰,一进二,20260416,1.6830294530154388,52.0,True
20260422,-0.1315527240773287,1,002565,顺灏股份,一进二,20260424,1.971326164874565,68.0,False
20260428,-0.004444667989987104,2,"002029,603579","七 匹 狼,荣泰健康",一进二,20260430,0.7604979671057999,47.0,False
20260506,0.13689662447257384,1,600158,中体产业,一进二,20260508,0.0,60.0,True
20260512,-0.07046551724137923,1,002108,沧州明珠,一进二,20260514,-0.15649452269169695,60.0,False
20260515,-0.04555874499332441,1,002254,泰和新材,一进二,20260519,0.7397444519166241,46.0,False
20260520,-0.0015,1,002067,景兴纸业,一进二,20260522,-1.5180265654648806,38.0,False
20260525,0.032999999999999974,1,603232,格尔软件,一进二,20260527,-0.19960079840318778,42.0,True
20260601,-0.039495149555375864,1,002457,青龙管业,一进二,20260603,0.9795918367346834,64.0,False
20260608,0.07954140155827916,2,"002471,603859","中超控股,能科科技",一进二,20260610,-0.1929184474790624,49.0,True
20260611,-0.026878632828489624,1,603220,中贝通信,一进二,20260615,-0.12264922322159366,50.0,False
20260616,-0.05469994751020846,2,"603007,600375","顺景科技,汉马科技",一进二,20260618,0.7945905888165128,62.0,False
20260622,-0.03947468354430389,1,000889,中嘉博创,一进二,20260624,-1.741293532338295,44.0,False
20260629,-0.12012068965517247,1,603861,白云电器,一进二,20260701,2.3288637967536996,46.0,False
20260702,-0.02414150943396237,1,002313,日海智能,一进二,20260706,-1.2422360248447228,44.0,False
20260707,-0.05110835509138384,1,002042,华孚时尚,一进二,20260709,-0.7772020725388518,60.0,False
20260710,-0.05068816369773571,2,"600992,000417","贵绳股份,合百集团",一进二,20260714,1.2810549195036214,66.0,False
20260715,-0.01445033069640772,2,"600844,002243","金煤科技,力合科创",一进二,20260717,2.093809137604752,59.0,False
20260720,-0.1131751269035533,1,002766,索菱股份,一进二,20260722,0.0,48.0,False
20260723,-0.027869168356997986,1,002575,群兴玩具,一进二,20260727,2.0703933747411973,50.0,False
20260728,-0.03453055326176707,1,002448,中原内配,一进二,20260730,1.4237855946398703,64.0,False
20260803,0.09794428875857825,2,"605178,001359","时空科技,平安电工",一进二,20260805,0.3889778822579293,64.0,True
20260806,-0.029218550106609953,1,600611,大众交通,一进二,20260810,0.0,66.0,False
20260811,-0.046688936876676856,2,"001388,002626","信通电子,金达威",一进二,20260813,-0.07908264136021748,44.0,False
20260814,-0.0628564922771821,2,"002575,002174","群兴玩具,游族网络",一进二,20260818,-1.539881795295417,47.0,False
20260819,-0.10605086514741141,2,"002284,601116","亚太股份,三江购物",一进二,20260821,0.5973510550389194,74.0,False
20260824,-0.030490472728794293,2,"603052,002209","可川科技,达 意 隆",一进二,20260826,-0.9498480243161078,55.0,False
20260827,0.01945336687481708,2,"605162,603200","新中港,上海洗霸",一进二,20260831,0.95377527914422,72.0,True
20260901,0.00962025068546807,2,"601882,603216","海天精工,梦天家居",一进二,20260903,1.4344251971994626,64.0,True
