open_lo,open_hi,lbc_lo,lbc_hi,zbc_max,mv_lo,mv_hi,fbt_max,plate_min,top_n,tp,sl,cost,rank,require_not_one_word,n,days,win_rate,avg_ret,sum_ret,max_dd,tp_share,in_n,in_wr,in_avg,oos_n,oos_wr,oos_avg
2.5,5.5,1,4,0,25,120,100000,1,1,0.008,0.0,0.0015,open_pct,True,35,35,0.9428571428571428,0.0017423772609819104,0.060983204134366864,-0.09651380475393079,0.9428571428571428,25,0.92,-0.00016067183462532519,10,1.0,0.006500000000000001
2.5,5.5,1,2,1,20,150,100000,2,1,0.008,0.0,0.0015,open_pct,True,35,35,0.9428571428571428,0.0017423772609819102,0.06098320413436686,-0.08483333333333332,0.9428571428571428,24,0.9166666666666666,-0.0004381998277347132,11,1.0,0.006500000000000001
2.5,5.5,1,3,1,25,120,100000,2,1,0.008,0.0,0.0015,open_pct,True,35,35,0.9428571428571428,0.0017423772609819102,0.06098320413436686,-0.10234853924881349,0.9428571428571428,23,0.9130434782608695,-0.0007398606898101372,12,1.0,0.0065000000000000014
2.5,5.5,1,3,0,20,150,100000,2,1,0.008,0.0,0.0015,open_pct,True,34,34,0.9411764705882353,0.0016024471804225548,0.054483204134366865,-0.09651380475393079,0.9411764705882353,27,0.9259259259259259,0.00033271126423581006,7,1.0,0.0065
2.5,5.5,1,3,1,20,150,100000,1,3,0.008,0.0,0.0015,open_pct,True,50,41,0.94,0.0016118146203217474,0.08059073101608737,-0.09651380475393079,0.94,27,0.9259259259259259,0.00033271126423581006,23,0.9565217391304348,0.0031133707339878482
2.5,5.5,1,4,1,20,150,100000,1,2,0.008,0.0,0.0015,score,True,50,44,0.94,0.0016118146203217474,0.08059073101608737,-0.09064114448483129,0.94,29,0.9310344827586207,0.0007580415218747196,21,0.9523809523809523,0.0027908346134152616
2.5,5.5,1,3,1,20,150,100000,1,3,0.008,0.0,0.0015,score,True,50,41,0.94,0.0016118146203217471,0.08059073101608735,-0.09651380475393079,0.94,27,0.9259259259259259,0.00033271126423581006,23,0.9565217391304348,0.0031133707339878482
2.5,5.5,1,4,1,20,150,100000,1,2,0.008,0.0,0.0015,open_pct,True,50,44,0.94,0.0016118146203217471,0.08059073101608735,-0.09064114448483129,0.94,29,0.9310344827586207,0.0007580415218747196,21,0.9523809523809523,0.0027908346134152616
2.5,5.5,1,2,0,20,150,100000,1,1,0.008,0.0,0.0015,open_pct,True,33,33,0.9393939393939394,0.0014540364889202078,0.04798320413436686,-0.08483333333333332,0.9393939393939394,24,0.9166666666666666,-0.0004381998277347132,9,1.0,0.006500000000000001
2.5,5.5,1,2,1,25,120,100000,1,1,0.008,0.0,0.0015,open_pct,True,33,33,0.9393939393939394,0.0014540364889202078,0.04798320413436686,-0.08483333333333332,0.9393939393939394,20,0.9,-0.0018258397932816577,13,1.0,0.0065000000000000014
2.5,5.5,1,4,0,25,120,100000,2,1,0.008,0.0,0.0015,open_pct,True,32,32,0.9375,0.0012963501291989646,0.04148320413436687,-0.09651380475393079,0.9375,25,0.92,-0.00016067183462532519,7,1.0,0.0065
2.5,5.5,1,3,0,25,120,100000,1,1,0.008,0.0,0.0015,open_pct,True,32,32,0.9375,0.0012963501291989644,0.04148320413436686,-0.10234853924881349,0.9375,23,0.9130434782608695,-0.0007398606898101372,9,1.0,0.006500000000000001
2.5,5.5,1,3,1,20,150,100000,1,2,0.008,0.0,0.0015,open_pct,True,47,41,0.9361702127659575,0.0012998027875763267,0.061090731016087356,-0.09651380475393079,0.9361702127659575,27,0.9259259259259259,0.00033271126423581006,20,0.95,0.002605376344086025
2.5,5.5,1,4,1,20,150,100000,2,3,0.008,0.0,0.0015,open_pct,True,47,42,0.9361702127659575,0.0012998027875763267,0.061090731016087356,-0.09064114448483129,0.9361702127659575,29,0.9310344827586207,0.0007580415218747196,18,0.9444444444444444,0.0021726403823178054
2.5,5.5,1,3,1,20,150,100000,1,2,0.008,0.0,0.0015,score,True,47,41,0.9361702127659575,0.0012998027875763265,0.06109073101608735,-0.09651380475393079,0.9361702127659575,27,0.9259259259259259,0.00033271126423581006,20,0.95,0.002605376344086025
2.5,5.5,1,4,1,25,120,100000,1,3,0.008,0.0,0.0015,score,True,47,40,0.9361702127659575,0.0012998027875763265,0.06109073101608734,-0.09651380475393079,0.9361702127659575,25,0.92,-0.00016067183462532519,22,0.9545454545454546,0.0029594330400782047
2.5,5.5,1,4,1,25,120,100000,1,3,0.008,0.0,0.0015,open_pct,True,47,40,0.9361702127659575,0.0012998027875763265,0.06109073101608734,-0.09651380475393079,0.9361702127659575,25,0.92,-0.00016067183462532519,22,0.9545454545454546,0.0029594330400782047
2.5,5.5,1,4,1,20,150,100000,2,3,0.008,0.0,0.0015,score,True,47,42,0.9361702127659575,0.0012998027875763265,0.06109073101608735,-0.09064114448483129,0.9361702127659575,29,0.9310344827586207,0.0007580415218747196,18,0.9444444444444444,0.0021726403823178054
2.5,5.5,1,2,1,25,120,100000,2,1,0.008,0.0,0.0015,open_pct,True,31,31,0.9354838709677419,0.0011284904559473188,0.03498320413436688,-0.08483333333333332,0.9354838709677419,20,0.9,-0.0018258397932816577,11,1.0,0.006500000000000001
2.5,5.5,1,2,1,20,150,100000,1,3,0.008,0.0,0.0015,score,True,46,37,0.9347826086956522,0.0011867550220888555,0.05459073101608735,-0.08483333333333332,0.9347826086956522,24,0.9166666666666666,-0.0004381998277347132,22,0.9545454545454546,0.0029594330400782047
2.5,5.5,1,2,1,20,150,100000,1,3,0.008,0.0,0.0015,open_pct,True,46,37,0.9347826086956522,0.0011867550220888555,0.05459073101608735,-0.08483333333333332,0.9347826086956522,24,0.9166666666666666,-0.0004381998277347132,22,0.9545454545454546,0.0029594330400782047
2.5,5.5,1,4,1,20,150,100000,2,2,0.008,0.0,0.0015,score,True,46,42,0.9347826086956522,0.0011867550220888555,0.05459073101608735,-0.09064114448483129,0.9347826086956522,29,0.9310344827586207,0.0007580415218747196,17,0.9411764705882353,0.0019180898165717941
2.5,5.5,1,4,1,20,150,100000,2,2,0.008,0.0,0.0015,open_pct,True,46,42,0.9347826086956522,0.0011867550220888555,0.05459073101608736,-0.09064114448483129,0.9347826086956522,29,0.9310344827586207,0.0007580415218747196,17,0.9411764705882353,0.0019180898165717941
2.5,5.5,1,2,0,20,150,100000,2,1,0.008,0.0,0.0015,open_pct,True,30,30,0.9333333333333333,0.0009494401378122295,0.028483204134366884,-0.08483333333333332,0.9333333333333333,24,0.9166666666666666,-0.0004381998277347132,6,1.0,0.0065
2.5,5.5,1,3,1,25,120,100000,1,3,0.008,0.0,0.0015,open_pct,True,44,37,0.9318181818181818,0.000945243886729258,0.04159073101608735,-0.10234853924881349,0.9318181818181818,23,0.9130434782608695,-0.0007398606898101372,21,0.9523809523809523,0.0027908346134152616
2.5,5.5,1,4,1,20,150,100000,1,1,0.008,0.0,0.0015,score,True,44,44,0.9318181818181818,0.000945243886729258,0.04159073101608735,-0.09064114448483129,0.9318181818181818,29,0.9310344827586207,0.0007580415218747196,15,0.9333333333333333,0.0013071684587813669
2.5,5.5,1,3,1,25,120,100000,1,3,0.008,0.0,0.0015,score,True,44,37,0.9318181818181818,0.0009452438867292579,0.041590731016087346,-0.10234853924881349,0.9318181818181818,23,0.9130434782608695,-0.0007398606898101372,21,0.9523809523809523,0.0027908346134152616
