cat,open_lo,open_hi,zbc_max,fbt_max,hs_max,mv_lo,mv_hi,top_n,hold_days,cost,prefer_open,n,days,win_rate,avg_ret,median_ret,comp_ret,max_dd,raw_n,raw_wr
一进二,0.5,1.5,0,100000,16,30,90,1,3,0.0015,1.0,10,10,0.7,0.027163548233064015,0.042180027960289246,0.2550234150203077,-0.1696723419041002,11,0.6363636363636364
一进二,0.5,1.5,0,100000,16,30,90,2,3,0.0015,1.0,10,10,0.7,0.012026660402245315,0.04013958715039362,0.09706662150570611,-0.1696723419041002,13,0.6153846153846154
一进二,0.5,1.5,1,103000,16,20,120,2,3,0.0015,1.0,33,33,0.696969696969697,0.03954717377172287,0.028282587114067115,2.2036418951534675,-0.1696723419041002,50,0.6
一进二,0.5,1.5,1,103000,12,25,100,2,3,0.0015,1.0,23,23,0.6956521739130435,0.021636637190224472,0.014373015873015817,0.5450880830293654,-0.1696723419041002,36,0.5277777777777778
二进三,0.0,2.0,0,103000,8,30,90,1,3,0.0015,1.0,13,13,0.6923076923076923,0.0771927066810055,0.08157692307692305,1.3925131982586527,-0.25403052962059347,13,0.6923076923076923
二进三,0.0,2.0,0,103000,8,30,90,2,3,0.0015,1.0,13,13,0.6923076923076923,0.0771927066810055,0.08157692307692305,1.3925131982586527,-0.25403052962059347,13,0.6923076923076923
二进三,0.3,1.8,1,103000,8,25,100,1,3,0.0015,1.0,13,13,0.6923076923076923,0.05837878206117496,0.07920500927643787,0.8548544351320704,-0.3650294890136563,13,0.6923076923076923
二进三,0.3,1.8,2,103000,8,25,100,1,3,0.0015,1.0,13,13,0.6923076923076923,0.05837878206117496,0.07920500927643787,0.8548544351320704,-0.3650294890136563,13,0.6923076923076923
二进三,0.3,1.8,1,103000,8,25,100,2,3,0.0015,1.0,13,13,0.6923076923076923,0.05837878206117496,0.07920500927643787,0.8548544351320704,-0.3650294890136563,13,0.6923076923076923
二进三,0.3,1.8,2,103000,8,25,100,2,3,0.0015,1.0,13,13,0.6923076923076923,0.05837878206117496,0.07920500927643787,0.8548544351320704,-0.3650294890136563,13,0.6923076923076923
