buy_date,ret,n,codes,names,categories,sell_date,open_pct,score,win
20250508,-0.020169216399670953,2,"600793,603416","宜宾纸业,信捷电气",首板,20250512,-0.6501854555430508,37.0,False
20250513,0.04200000000000009,1,002095,生 意 宝,首板,20250515,0.0,42.0,True
20250516,0.04993844533907715,2,"601086,603169","国芳集团,兰石重装",首板,20250520,-1.0822893297605163,37.0,True
20250521,-0.048744094488189005,1,600860,京城股份,首板,20250523,-1.7788089713843824,26.0,False
20250526,-0.00015109674892288538,2,"000822,601956","山东海化,东贝集团",首板,20250528,-0.23292984815702633,38.0,False
20250529,-0.03173566029346381,1,002664,信质集团,首板,20250603,1.85688405797102,50.0,False
20250604,0.01625390985441222,2,"605009,605255","豪悦护理,天普股份",首板,20250606,0.6675598272570582,50.0,True
20250610,-0.02983845621804654,2,"603681,603967","永冠新材,中创物流",首板,20250612,-0.015028624046270478,45.0,False
20250613,-0.02734013924220119,1,001298,好上好,首板,20250617,-0.9613472120930777,36.0,False
20250618,-0.09040840691456287,2,"000561,603086","烽火电子,先达股份",首板,20250620,-1.2297195105183567,37.0,False
20250623,0.09876385224274414,1,002741,光华科技,首板,20250625,-1.8643190056965242,26.0,True
20250626,0.013742121704932386,2,"000561,600638","烽火电子,新黄浦",首板,20250630,0.6528938552588792,43.0,True
20250701,-0.007903539007899252,2,"603194,605123","中力股份,派克新材",首板,20250703,-0.17633869364164778,45.0,False
20250707,-0.0459710644500263,2,"603538,600551","美诺华,时代出版",首板,20250709,0.3624687108806812,43.0,False
20250710,-0.01253940217391297,1,002609,捷顺科技,首板,20250714,-1.587832191208416,26.0,False
20250716,0.05062282031842319,1,600830,香溢融通,首板,20250718,-1.4016071762287474,26.0,True
20250721,-0.03358633093525182,1,002315,焦点科技,首板,20250723,0.019188333493236343,42.0,False
20250724,0.03780523979099831,2,"603040,603980","新坐标,吉华集团",首板,20250728,-1.4486658313116907,32.0,True
20250729,-0.019141963485082347,2,"603200,000576","上海洗霸,甘化科工",首板,20250731,-0.06473864108962335,45.0,False
20250801,0.020149009672961793,1,603266,天龙股份,首板,20250805,0.09220839096357736,42.0,True
20250806,-0.048416890080428876,1,600351,亚宝药业,首板,20250808,0.0,42.0,False
20250811,-0.019387250513973164,2,"000803,603280","山高环能,南方路机",首板,20250813,-0.6451932375592828,40.0,False
20250814,0.08625414695999034,2,"002406,600749","远东传动,西藏旅游",首板,20250818,0.2149747877794872,38.0,True
20250819,-0.06775774920457894,1,002104,恒宝股份,首板,20250821,0.06564479600879025,42.0,False
20250822,-0.010967792389529052,2,"603216,603630","梦天家居,拉芳家化",首板,20250826,-0.41188617192206567,38.0,False
20250827,-0.031185592185592137,2,"000665,603716","湖北广电,塞力医疗",首板,20250829,0.31948881789137795,46.0,False
20250902,-0.007287781350482357,2,"605298,002345","必得科技,潮宏基",首板,20250904,0.9912334727765759,56.0,False
20250905,0.006729783298821625,2,"603608,002178","天创时尚,延华智能",首板,20250909,0.4669888763858543,46.0,True
20250910,0.007614790018259265,2,"603098,603222","森特股份,济民健康",首板,20250912,0.07619460956662105,49.0,True
20250915,0.025440639269406373,2,"603316,600076","诚邦股份,康欣新材",首板,20250917,0.36798528058877844,46.0,True
20250918,0.03580664240218373,1,001212,中旗新材,首板,20250922,-1.3996052395478076,26.0,True
20250923,-0.04650649642135729,2,"603798,605298","康普顿,必得科技",首板,20250925,0.6931956276410189,58.0,False
20250926,0.014496402415521026,2,"002052,603527","同洲电子,众源新材",首板,20250930,-1.6441445476614969,26.0,True
20251009,0.10836261040235523,2,"000980,603878","众泰汽车,武进不锈",首板,20251013,0.7660178695984343,62.0,True
20251014,0.03979342363993871,1,603130,云中马,首板,20251016,0.0,42.0,True
20251017,-0.011651950296724889,2,"600173,603928","卧龙新能,兴业股份",首板,20251021,-1.0703592571567555,37.0,False
20251022,-0.08412298681502661,2,"000819,600173","岳阳兴长,卧龙新能",首板,20251024,-0.3767770742789833,38.0,False
20251027,-0.026573746312684443,1,605580,恒盛能源,首板,20251029,0.5934718100890191,50.0,False
20251030,0.10944228243544768,2,"600819,603686","耀皮玻璃,福龙马",首板,20251103,-0.0196409631928407,45.0,True
20251105,0.01654123711340222,1,603097,江苏华辰,首板,20251107,-1.6675959247807848,26.0,True
20251110,-0.03206147832267231,1,603861,白云电器,首板,20251112,1.0775862068965525,62.0,False
20251113,0.05264853848103401,2,"605178,002160","时空科技,常铝股份",首板,20251117,1.4091604114539913,50.0,True
20251118,0.00020153581307186252,2,"605255,600078","天普股份,澄星股份",首板,20251120,0.33827864495240556,58.0,True
20251121,-0.030462625276845623,2,"000735,002394","罗 牛 山,联发股份",首板,20251125,-1.3289137442567767,26.0,False
20251126,0.1396405451329406,2,"000863,002702","三湘印象,海欣食品",首板,20251128,0.9560243016125347,56.0,True
20251201,-0.06295853424616316,2,"600078,002279","澄星股份,久其软件",首板,20251203,0.48599460045704035,56.0,False
20251204,-0.03746422286881623,2,"000593,605339","德龙汇能,南侨食品",首板,20251208,0.25628990235935234,43.0,False
20251209,-0.054854880153413554,2,"002208,002264","合肥城建,新 华 都",首板,20251211,0.47765629975586865,52.0,False
20251212,-0.05343532582067606,1,002150,正泰电源,首板,20251216,-1.2100677637947754,26.0,False
20251217,0.05688654882442801,2,"601116,603626","三江购物,科森科技",首板,20251219,0.9475153353091237,56.0,True
20251222,0.15184291520238763,2,"603696,002255","安记食品,海陆重工",首板,20251224,1.1923333257490398,56.0,True
20251225,-0.01396159153193094,2,"603212,603528","赛伍技术,多伦科技",首板,20251229,-0.8670433145009371,31.0,False
20251230,0.0010723472668810476,1,603386,骏亚科技,首板,20260105,-1.3950538998097617,26.0,True
20260106,0.10391871921182277,1,603528,多伦科技,首板,20260108,-1.0721247563352798,38.0,True
20260109,0.020586209085679263,2,"002029,000678","七 匹 狼,襄阳轴承",首板,20260113,0.7876496534341526,52.0,True
20260114,0.08190870264295042,1,002264,新 华 都,首板,20260116,0.606612071580237,50.0,True
20260119,0.06702589965103833,2,"603090,002510","宏盛股份,天汽模",首板,20260121,0.05743458838545212,48.0,True
20260122,0.03124305555555562,2,"002796,002490","世嘉科技,山东墨龙",首板,20260126,0.25982789454385147,58.0,True
20260127,-0.020334567179918384,2,"002865,605287","钧达股份,德才股份",首板,20260129,0.3470523973102102,33.0,False
20260130,0.029373076992021907,2,"605003,002865","众望布艺,钧达股份",首板,20260203,-0.6324592764181403,48.0,True
20260204,-0.0819485130077065,2,"000880,002757","潍柴重机,南兴股份",首板,20260206,-0.15438413044794874,55.0,False
20260209,0.10261835552136739,2,"605060,002562","联德股份,兄弟科技",首板,20260211,1.3857466063348367,50.0,True
20260213,0.06056523477794312,2,"002358,600590","森源电气,泰豪科技",首板,20260225,-0.2587417757078381,39.0,True
20260226,-0.06089509186746905,2,"002342,600708","巨力索具,光明地产",首板,20260302,-0.031067478563445716,45.0,False
20260303,-0.12916862810262025,2,"002795,605287","永和智控,德才股份",首板,20260305,0.2241966079121971,49.0,False
20260306,-0.041433290752962926,2,"002490,000767","山东墨龙,晋控电力",首板,20260310,0.6941674718858648,50.0,False
20260311,-0.0977495851310986,1,601226,华电科工,首板,20260313,0.8366800535475116,62.0,False
20260316,-0.06297157485875704,2,"000833,002173","粤桂股份,创新医疗",首板,20260318,1.3193379658325899,56.0,False
20260320,-0.08590717676798826,1,603042,华脉科技,首板,20260324,1.9806338028169002,50.0,False
20260325,0.0006549403905720119,2,"600545,000593","卓郎智能,德龙汇能",首板,20260327,0.19845172218885265,55.0,True
20260330,-0.03075459301174427,2,"002638,002452","勤上股份,长高电气",首板,20260401,-1.5947097977323188,32.0,False
20260402,-0.08511142456767945,2,"605258,603685","协和电子,晨丰科技",首板,20260407,1.3597294376698432,50.0,False
20260408,0.01167734072280796,2,"603124,001257","江南新材,盛龙股份",首板,20260410,0.174789121979535,44.0,True
20260413,0.042884715352048575,2,"603045,603538","福达合金,美诺华",首板,20260415,-0.04802780619196367,39.0,True
20260416,0.0057499211971687725,2,"603016,603538","新宏泰,美诺华",首板,20260420,0.0,54.0,True
20260421,-0.14849493120926877,1,600152,维科技术,首板,20260423,-0.8614501076812608,36.0,False
20260424,-0.12878186233461736,1,002705,新宝股份,首板,20260428,-1.5931439872548414,26.0,False
20260430,0.0816012121477972,2,"600539,002309","狮头股份,中利集团",首板,20260507,-0.4162110236410832,51.0,True
20260508,0.05170145057811626,2,"002787,002445","华源控股,中南文化",首板,20260512,0.5345313248048766,52.0,True
20260513,0.034644578313253016,1,605208,永茂泰,首板,20260515,1.0825439783491264,50.0,True
20260518,-0.07673358880988118,2,"605178,000782","时空科技,恒申新材",首板,20260520,1.5400043601482394,50.0,False
20260521,0.01788075236600578,2,"002718,001212","友邦吊顶,中旗新材",首板,20260525,-0.08831106408951905,45.0,True
20260526,0.05844227620339065,2,"603931,601588","格林达,北辰实业",首板,20260528,0.25510204081632404,52.0,True
20260529,-0.014236872107813436,2,"600573,603615","惠泉啤酒,茶花股份",首板,20260602,0.586115362617079,50.0,False
20260603,0.006209181279876297,2,"603007,002194","顺景科技,武汉凡谷",首板,20260605,-0.3475238922675927,51.0,True
20260608,-0.10705368376044089,2,"002135,600693","东南网架,东百集团",首板,20260610,-1.9095294201889212,32.0,False
20260612,0.09873693153948565,2,"000691,605588","亚太实业,冠石科技",首板,20260616,1.391067947737168,50.0,True
20260617,-0.08059381611263772,2,"603158,002443","腾龙股份,金洲管道",首板,20260622,0.42735042735043693,52.0,False
20260623,0.009286015373171308,2,"603725,000546","天安新材,金圆股份",首板,20260625,-0.945974438821845,42.0,True
20260626,0.002685692541856799,2,"603458,603324","勘设股份,盛剑科技",首板,20260630,0.4723996043001222,52.0,True
20260701,-0.017333317131460912,2,"002392,002796","北京利尔,世嘉科技",首板,20260703,1.0109339564857378,62.0,False
20260706,0.026007990185882235,2,"002137,605186","实益达,健麾信息",首板,20260708,1.591687893788607,62.0,True
