code,name,nmc
600509,天富能源,1023926.068215
600510,黑牡丹,700745.285303
600511,国药股份,1496802.07692
600512,腾达建设,330180.273904
600513,联环药业,444455.41239
600515,海南机场,2578459.514748
600516,方大炭素,2097530.561728
600517,国网英大,2887810.05072
600518,康美药业,1907484.601944
600519,贵州茅台,166260852.933
600520,三佳科技,387361.35
600521,华海药业,2394106.261404
600522,中天科技,10819050.39684
600523,贵航股份,495358.70412
600525,长园集团,672577.87752
600526,菲达环保,406415.1801
600527,江南高纤,391377.963852
600528,中铁工业,1546199.905248
600529,山东药玻,1267502.95583
600531,豫光金铅,1581715.608984
600533,栖霞建设,236250.0
600535,天士力,2200588.357365
600536,中国软件,2826247.24825
600538,国发股份,271010.545916
600539,狮头股份,323840.0
600540,新赛股份,355221.32256
600545,卓郎智能,727680.274354
600546,山煤国际,2610894.73638
600547,山东黄金,13698740.28513
600548,深高速,1452118.807601
600549,厦门钨业,7581634.13042
600550,保变电气,2044096.6128
600551,时代出版,545834.467395
600552,凯盛科技,1569936.657828
600556,天下秀,882180.849296
600557,康缘药业,708830.825112
600558,大西洋,430850.31888
600559,老白干酒,1069339.762036
600560,金自天正,255850.452
600561,江西长运,174384.2784
600562,国睿科技,3634917.89768
600563,法拉电子,2778300.0
600566,济川药业,2364682.883706
600567,山鹰国际,831531.386204
600569,安阳钢铁,525653.113638
600570,恒生电子,4171706.416226
600571,信雅达,504900.128409
600572,康恩贝,1111455.888142
600573,惠泉啤酒,254000.0
600575,淮河能源,1278579.890385
600576,祥源文旅,379063.907642
600577,精达股份,1780987.841724
600578,京能电力,3621789.969115
600579,中化装备,344039.729023
600580,卧龙电驱,4461059.511504
600582,天地科技,1961691.134808
600583,海油工程,2719133.202
600584,长电科技,12053496.54352
600585,海螺水泥,7111698.558672
600586,金晶科技,585360.4701
600587,新华医疗,768618.643583
600588,用友网络,3481920.359771
600589,大位科技,1203474.49046
600590,泰豪科技,733905.48501
600592,龙溪股份,597732.142216
600593,大连圣亚,532716.8
600594,益佰制药,292578.9247
600595,中孚实业,2549027.652504
600596,新安股份,1487255.947998
600597,光明乳业,973189.486278
600598,北大荒,2330538.360699
600600,青岛啤酒,3651289.480507
600601,方正科技,5458913.912683
600602,云赛智联,1921928.04911
600603,广汇物流,558439.176284
600604,市北高新,684023.034744
600605,汇通能源,578209.648487
600606,绿地控股,1883265.254076
600609,金杯汽车,437027.11693
600610,中毅达,605961.332775
600611,大众交通,783221.498364
600612,老凤祥,1071830.5494
600613,神奇制药,432346.620156
600615,鑫源智造,218057.5364
600616,金枫酒业,309080.2869
600617,国新能源,596582.343504
600618,氯碱化工,784332.614896
600619,海立股份,1082747.822856
600620,天宸股份,304197.961059
600621,华鑫股份,1458736.5265
600622,光大嘉宝,368922.608892
600623,华谊集团,1613389.87038
600626,申达股份,474147.335453
600628,新世界,416587.747296
600629,华建集团,2112191.560886
600630,龙头股份,299527.425885
600633,浙数文化,1327673.972184
600635,大众公用,1141669.6706
600637,东方明珠,2850891.044816
600638,新黄浦,340738.773716
600639,浦东金桥,814526.761474
600640,国脉文化,887329.05214
600641,先导基电,2758387.08288
600642,申能股份,4193997.874692
600643,爱建集团,663176.665572
600644,乐山电力,529163.54847
600645,中源协和,870988.04723
600648,外高桥,1061540.054703
600649,城投控股,1011671.111808
600650,锦江在线,435474.483625
600651,飞乐音响,1391400.548325
600653,申华控股,334777.414524
600654,中安科,755482.774298
600655,豫园股份,1765990.207942
600657,信达地产,998157.50825
600658,电子城,466449.963765
600660,福耀玻璃,11483120.641356
600661,昂立教育,252162.9704
600662,外服控股,974454.15312
600663,陆家嘴,3576385.670211
600664,哈药股份,1959400.683528
600665,天地源,315404.720165
600666,奥瑞德,900145.98765
600667,太极实业,3601635.630516
600668,尖峰集团,308849.644312
600671,天目药业,266433.926204
600673,东阳光,9163756.351131
