date,code,name,price,pct,amount,float_mv,total_mv,turnover,lianban,first_seal,last_seal,seal_amt,open_times,industry,zt_days,zt_count,market_flag
20260811,603087,甘李药业,74.47,10.0,1227027984,41789381152.2,44528217662.72,2.951406240463257,1,93358,93358,278294911,0,生物制品,1,1,1
20260811,002212,天融信,7.17,9.969325065612793,496362096,8366270999.61,8456684262.24,6.0719404220581055,1,93403,93403,109221420,0,软件开发,4,2,0
20260811,002256,兆新股份,3.97,9.972298622131348,327544752,7996957296.22,8101325428.160001,4.183006286621094,1,93754,93754,59814402,0,电力,1,1,0
20260811,002047,宝鹰股份,3.56,9.876543045043945,86677117,5397525815.72,5397845329.28,1.663750410079956,1,93942,93942,53773444,0,装修装饰,1,1,0
20260811,600611,大众交通,5.02,10.087719917297363,982363328,7847848147.28,11867896777.279999,12.759183883666992,1,93952,145116,90567059,4,铁路公路,1,1,1
20260811,603883,老百姓,14.01,9.968603134155273,445995568,10632052206.36,10632052262.4,4.276544094085693,1,94018,94203,113775686,1,医药商业,1,1,1
20260811,600162,香江控股,4.29,10.0,400355936,14021599543.380001,14021599569.12,2.939927101135254,1,94030,94030,72241184,0,房地产开,1,1,1
20260811,002685,华东重机,6.07,9.963768005371094,340266336,6115862285.62,6116682184.8,5.688394069671631,1,94227,94315,77555060,1,工程机械,1,1,0
20260811,605179,一鸣食品,27.63,9.99203872680664,1115570768,11079630000.0,11079630000.0,10.373815536499023,2,94235,140726,23877846,5,饮料乳品,11,7,1
20260811,002687,乔治白,5.98,9.926470756530762,170022140,2472093351.26,3018581338.2400002,7.01030969619751,1,94318,94318,82928792,0,服装家纺,1,1,0
20260811,000859,国风新材,10.48,9.968521118164062,1280296176,9389296840.08,9389831330.56,13.987929344177246,2,94430,100242,82106241,1,塑料,2,2,0
20260811,600715,文投控股,1.8,9.756096839904785,155548064,5152270033.8,7307736307.2,3.06972599029541,1,94453,95147,23963241,1,游戏Ⅱ,1,1,1
20260811,600664,哈药股份,8.27,9.973404884338379,5494869248,20828076674.52,20828076641.44,26.950542449951172,3,94704,134752,115749401,19,化学制药,3,3,1
20260811,002859,洁美科技,81.32,9.995942115783691,1521094496,34830592064.0,36890164837.759995,4.519042491912842,1,94815,95233,126672164,1,其他电子,1,1,0
20260811,600126,杭钢股份,7.37,10.0,1115980112,24889883541.71,24889883578.56,4.638308525085449,1,95036,95036,132587530,0,普钢,1,1,1
20260811,002229,鸿博股份,11.74,10.028116226196289,840333600,5789653353.62,5825288069.12,14.841695785522461,1,95054,100845,136378884,1,IT服务Ⅱ,1,1,0
20260811,603106,恒银科技,9.34,10.011778831481934,536713840,4861656800.0,4861656800.0,11.514026641845703,1,95248,95248,67904415,0,计算机设,8,5,1
20260811,300426,华智数媒,7.8,20.0,421059216,3120000000.0,3512985964.7999997,14.255716323852539,1,95615,95615,91973193,0,影视院线,1,1,0
20260811,600863,华能蒙电,5.18,9.978768348693848,1102493072,33809278860.98,40586281630.72,3.3466508388519287,1,95734,95734,132859670,0,电力,1,1,1
20260811,600833,第一医药,12.11,9.990917205810547,446405968,2701575662.17,2701575662.17,17.048675537109375,2,100029,112705,23225769,4,医药商业,2,2,1
20260811,605286,同力天启,28.17,9.996095657348633,241778839,4732560000.0,4732560000.0,5.388401031494141,2,100301,100301,57931295,0,专用设备,2,2,1
20260811,001258,立新能源,15.93,10.013812065124512,3628988256,14867813231.369999,14867999915.039999,26.110523223876953,2,100909,145457,6520722,1,电力,2,2,0
20260811,000779,甘咨询,12.73,10.025928497314453,1460861328,5916560353.650001,5917278974.88,28.9028377532959,1,101115,144454,24607802,0,工程咨询,1,1,0
20260811,603887,城地香江,10.32,10.021322250366211,360338560,6212943624.72,6212943655.68,6.028067588806152,1,101829,101829,59116386,0,IT服务Ⅱ,1,1,1
20260811,603137,恒尚节能,30.34,10.007251739501953,985331296,5550197353.56,5550197353.56,18.640514373779297,1,102052,112737,50919622,2,装修装饰,3,2,1
20260811,600667,太极实业,21.2,10.015567779541016,6466750464,44340694173.6,44340694131.2,15.293169021606445,1,103604,103604,343423040,0,工程咨询,1,1,1
20260811,603488,展鹏科技,9.38,9.964829444885254,113766761,2738870327.2000003,2738870402.2400002,4.316915512084961,1,103955,103955,30776718,0,专用设备,1,1,1
20260811,002246,北化股份,22.47,9.985315322875977,622488816,12336811821.18,12336811956.0,5.2044525146484375,1,104606,104606,75281375,0,化学制品,1,1,0
20260811,603012,创力集团,8.94,9.963099479675293,510155392,5779710000.0,5779710000.0,9.122407913208008,1,104927,150000,59168496,3,专用设备,1,1,1
20260811,002194,武汉凡谷,11.0,10.0,782053952,5619667350.0,7516143888.0,14.65768814086914,1,105309,105309,66529034,0,通信设备,4,3,0
20260811,002715,登云股份,15.03,10.029282569885254,123370965,2074140000.0,2074140000.0,6.178352355957031,1,110203,110203,26842077,0,汽车零部,1,1,0
20260811,301520,万邦医药,70.39,19.996591567993164,1404170944,2301643402.77,6558332945.47,64.8330307006836,1,110233,144103,19074352,6,医疗服务,1,1,0
20260811,600881,亚泰集团,1.87,10.0,306697232,6044122347.56,6044122355.04,5.31252384185791,1,110635,110635,53126187,0,综合Ⅱ,1,1,1
20260811,605288,凯迪股份,63.39,9.994794845581055,218278837,6229872657.03,6271947135.63,3.7596685886383057,1,111605,111605,52794995,0,自动化设,1,1,1
20260811,603284,林平发展,44.44,10.0,204675005,837858428.0,3351433712.0,25.160186767578125,1,112158,112158,168320277,0,造纸,1,1,1
20260811,002031,巨轮智能,5.84,9.98116683959961,806525616,11175544163.84,12844470677.76,7.44832706451416,1,130624,130624,68994928,0,专用设备,1,1,0
20260811,603009,北特科技,44.0,10.0,467213312,15241151860.0,15241151552.0,3.1954779624938965,1,130658,130658,37523156,0,汽车零部,1,1,1
20260811,603179,新泉股份,41.66,10.00792121887207,1222329344,29753515758.999996,29753516008.96,4.265997886657715,1,131317,133520,164824457,1,汽车零部,1,1,1
20260811,002235,安妮股份,9.55,10.023041725158691,358513088,5286672784.1,5534915350.400001,7.091787815093994,1,131642,131642,97039937,0,造纸,1,1,0
20260811,301550,斯菱智驱,87.42,20.0,1173063680,17942878157.82,29316187899.84,7.0906853675842285,1,132009,132009,74991148,0,汽车零部,1,1,0
20260811,301529,福赛科技,96.16,20.00499153137207,557583952,6112571371.84,11387631069.44,9.872078895568848,1,133403,133403,31344313,0,汽车零部,1,1,0
