代码,SECUCODE,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日,_absnet,in_streak,连板数,有机构,机构买入家数,净买亿,买亿,卖亿,阶段
002827,002827.SZ,高争民爆,20260730,普通席位买入，成功率38.70%,31.45,10.0035,66127641.24,82423122.24,16295481.0,98718603.24,117282302.0,56.38330772191,84.171781723725,0.6022,8680164618.75,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.01589825,21.01748808,56.56597774,75.19872814,66127641.24,True,2,False,,0.6612764124,0.8242312223999999,0.16295481,低位(1-2板)
600664,600664.SH,哈药股份,20260713,普通席位买入，成功率44.65%,3.71,10.089,-65199145.14,106176966.74,171376111.88,277553078.62,737706217.0,-8.838090778893,37.623795519674,7.9955,9343671639.96,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,9.97304582,21.02425876,43.12668464,52.02156334,65199145.14,True,2,False,,-0.6519914514,1.0617696674,1.7137611188,低位(1-2板)
600721,600721.SH,百花医药,20260807,普通席位买入，成功率39.41%,10.54,10.0209,-63890335.98,39747302.94,103637638.92,143384941.86,628410380.0,-10.166976551215,22.817086799235,15.6205,4053132072.9,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,9.96204934,20.96774194,31.02466793,25.71157495,63890335.98,True,4,False,,-0.6389033598,0.39747302939999996,1.0363763892,中位(3-4板)
603272,603272.SH,*ST联翔,20260427,上海资金买入，成功率43.17%,24.3,10.0045,62102679.0,101835774.0,39733095.0,141568869.0,345812358.0,17.958490367195,40.938059535744,5.7211,2518136100.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,5.02057613,10.28806584,7.40740741,34.73251029,62102679.0,True,2,False,,0.62102679,1.01835774,0.39733095,低位(1-2板)
003040,003040.SZ,楚天龙,20260826,1家机构买入，成功率28.56%,17.03,10.0129,-61847325.16,169724937.29,231572262.45,401297199.74,1769610153.0,-3.494968937376,22.677152877976,23.8013,7780159893.74,日涨幅偏离值达到7%的前5只证券,9.98238403,,,,61847325.16,True,4,True,1.0,-0.6184732516,1.6972493729,2.3157226244999998,中位(3-4板)
603318,603318.SH,水发燃气,20260422,普通席位买入，成功率49.17%,9.41,10.0585,60383096.02,138178244.04,77795148.02,215973392.06,882302601.0,6.843808003236,24.478380978954,21.0128,4319857394.84,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,9.98937301,21.04144527,54.62274176,28.58660999,60383096.02,True,1,False,,0.6038309602,1.3817824403999999,0.7779514801999999,低位(1-2板)
003032,003032.SZ,传智教育,20260804,浙江资金买入，成功率44.32%,10.66,10.0103,59982795.02,186958083.0,126975287.98,313933370.98,754142897.0,7.953770466925,41.627836346246,10.4,3032573941.28,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.03752345,2.72045028,10.13133208,23.26454034,59982795.02,True,7,False,,0.5998279502,1.86958083,1.2697528798,高位(5板+)
001258,001258.SZ,立新能源,20260723,2家机构买入，成功率25.77%,12.11,9.9909,-59884788.22,151803824.62,211688612.84,363492437.46,1270567170.0,-4.713232769898,28.608675404387,11.3037,11302524684.99,日涨幅偏离值达到7%的前5只证券,7.59702725,18.33195706,1.9818332,0.66061107,59884788.22,True,6,True,2.0,-0.5988478822,1.5180382462,2.1168861284,高位(5板+)
600721,600721.SH,百花医药,20260810,浙江资金买入，成功率38.12%,11.59,9.962,-58832335.88,141201057.12,200033393.0,341234450.12,1876263215.0,-3.135612072425,18.18691787975,1.3311,4456907089.65,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,10.00862813,21.05263158,20.9663503,22.43313201,58832335.88,True,5,False,,-0.5883233588,1.4120105712,2.00033393,高位(5板+)
003040,003040.SZ,楚天龙,20260824,2家机构买入，成功率21.50%,14.07,10.0078,58001845.2,171700510.7,113698665.5,285399176.2,1098141338.0,5.281819670466,25.989293574886,11.153,6427883130.06,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.02132196,21.0376688,,,58001845.2,True,2,True,2.0,0.580018452,1.7170051069999999,1.136986655,低位(1-2板)
